
[1-7-2025 14-7-16 ] [2] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 100000, Currency: RUB, Commission: 0
[1-7-2025 14-7-16 ] [2] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 100000, Currency: RUB, Commission: 500
[1-7-2025 14-7-16 ] [2] [Status: WITHDRAWING_FROM_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 100000, Currency: RUB, Commission: 500
[1-7-2025 14-7-16 ] [2] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 100000, Currency: RUB, Commission: 0
[1-7-2025 14-7-16 ] [2] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 1084, Currency: EUR, Commission: 0
[1-7-2025 14-7-16 ] [2] [Status: DONE] - CardDebit Number: 1234567812345678, CardTransfer Number: 3241567812345678, Debit: 1084, Currency: EUR, Commission: 0docker exec -it
[2-7-2025 12-50-48 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 12-50-48 ] [1] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 1000
[2-7-2025 12-50-48 ] [1] [Status: WITHDRAWING_FROM_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 1000
[2-7-2025 12-50-48 ] [1] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 12-50-48 ] [1] [Status: DONE] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 13-31-40 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 13-31-40 ] [1] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 1000
[2-7-2025 13-31-40 ] [1] [Status: WITHDRAWING_FROM_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 1000
[2-7-2025 13-31-40 ] [1] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 13-31-40 ] [1] [Status: DONE] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 100000, Currency: RUB, Commission: 0
[2-7-2025 15-32-4 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500000, Currency: RUB, Commission: 0
[2-7-2025 15-32-15 ] [1] [Status: ERROR] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500000, Currency: RUB, Commission: 0
[2-7-2025 15-32-29 ] [2] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500, Currency: RUB, Commission: 0
[2-7-2025 15-32-29 ] [2] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500, Currency: RUB, Commission: 5
[2-7-2025 15-32-29 ] [2] [Status: WITHDRAWING_FROM_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500, Currency: RUB, Commission: 5
[2-7-2025 15-32-29 ] [2] [Status: TRANSFER_TO_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500, Currency: RUB, Commission: 0
[2-7-2025 15-32-29 ] [2] [Status: DONE] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 500, Currency: RUB, Commission: 0
[2-7-2025 19-22-55 ] [1] [Status: START] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 10000, Currency: RUB, Commission: 0
[2-7-2025 19-22-55 ] [1] [Status: PROGRESS] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 10000, Currency: RUB, Commission: 100
[2-7-2025 19-22-55 ] [1] [Status: WITHDRAWING_FROM_ACCOUNT] - CardDebit Number: 1234567812345678, CardTransfer Number: 2341567812345678, Debit: 10000, Currency: RUB, Commission: 100
